"","X","idno","cntry","agea","eisced","gndr","rlgdgr","domicil","blgetmg","hinctnta","uemp3m","hincfel","stfdem","stfeco","gincdif","sofrdst","lrscale","trstep","trstun","stfgov","euftf","imsmetn","imdfetn","impcntr","imbgeco","imwbcnt","polintr","psppsgva","psppipla","frprtpl","freehms","hmsacld","atchctr","imueclt","impenv","vote_pop_2","elec_system","pop_choice_2","GDP","occup","vote_eu","pop_att"
"11970",20382,49076,"IE",61,6,1,7,2,2,7,1,2,8,8,2,1,4,7,6,8,3,2,2,2,7,8,1,3,4,3,1,1,7,8,1,4,"Proportional","l",4.802866946,2,1,5.66666666666667
"11971",20383,49081,"IE",63,2,2,2,2,2,5,2,2,6,4,2,2,8,2,2,4,8,2,2,3,8,8,2,2,3,2,1,1,10,8,1,0,"Proportional","l",4.802866946,9,1,3.33333333333333
"11972",20384,49119,"IE",76,2,2,4,4,2,6,2,1,0,0,3,2,5,3,0,0,0,3,3,2,2,2,2,2,1,1,2,2,9,2,3,0,"Proportional","l",4.802866946,5,1,1.33333333333333
"11973",20385,49167,"IE",26,6,2,0,1,2,5,2,2,3,1,1,4,5,2,2,2,5,1,2,2,7,10,3,3,2,2,1,1,10,8,5,0,"Proportional","l",4.802866946,2,1,1.33333333333333
"11974",20388,49284,"IE",62,4,2,0,3,2,1,2,2,3,5,2,4,2,3,3,4,8,1,1,1,8,8,3,1,1,2,1,2,10,9,2,4,"Proportional","l",4.802866946,5,2,1.66666666666667
"11975",20390,49328,"IE",31,3,2,2,3,2,3,2,3,0,1,2,2,0,0,0,0,4,2,2,2,0,1,4,1,2,1,1,1,10,0,2,1,"Proportional","l",4.802866946,5,1,0
"11976",20391,49337,"IE",39,4,1,4,3,2,4,2,2,6,6,1,2,5,5,6,4,5,2,3,2,6,4,3,1,2,3,1,1,7,3,1,4,"Proportional","l",4.802866946,7,1,4.66666666666667
"11977",20392,49361,"IE",76,4,1,3,5,2,5,2,1,3,3,1,2,5,1,8,3,4,3,3,2,3,4,1,1,1,2,2,4,10,3,1,1,"Proportional","l",4.802866946,1,2,5.33333333333333
"11978",20393,49389,"IE",46,7,2,6,5,2,10,2,1,6,4,4,4,5,6,7,5,2,1,1,1,6,5,3,2,1,2,2,4,8,5,1,4,"Proportional","l",4.802866946,2,1,2.66666666666667
"11979",20395,49462,"IE",34,5,1,4,3,2,2,2,3,5,5,2,2,4,4,3,4,7,2,2,3,3,3,3,2,2,2,1,2,7,4,2,4,"Proportional","l",4.802866946,5,1,3.66666666666667
"11980",20396,49543,"IE",65,1,2,10,3,2,1,2,4,2,5,2,3,5,5,6,3,3,3,3,3,2,0,2,1,1,1,5,5,10,3,3,0,"Proportional","l",4.802866946,9,1,0.666666666666667
"11981",20397,49585,"IE",47,6,1,0,1,2,2,1,2,3,6,2,2,3,3,6,5,7,3,3,3,8,8,1,3,3,2,2,2,9,7,2,1,"Proportional","l",4.802866946,5,1,3
"11982",20399,49616,"IE",71,6,1,1,2,2,10,2,1,7,6,4,5,7,8,8,3,10,1,1,1,8,8,1,3,4,3,2,2,8,8,1,0,"Proportional","l",4.802866946,2,1,7
"11983",20401,49744,"IE",34,5,2,7,5,2,8,2,1,5,2,1,1,5,7,9,2,5,3,3,3,2,3,4,2,2,2,1,2,9,2,1,0,"Proportional","l",4.802866946,4,1,2.66666666666667
"11984",20402,49810,"IE",35,7,2,4,2,2,8,2,2,7,7,2,2,5,6,7,6,6,1,1,1,8,9,2,3,2,3,1,2,8,9,1,4,"Proportional","l",4.802866946,3,1,4.66666666666667
"11985",20405,49944,"IE",40,4,2,8,3,2,3,1,2,6,7,2,2,2,5,5,5,8,3,3,3,3,5,4,3,2,3,1,1,10,4,3,0,"Proportional","l",4.802866946,4,1,5.66666666666667
"11986",20406,49960,"IE",56,4,1,5,5,2,2,2,2,5,5,4,4,5,3,0,5,2,2,3,3,5,4,2,2,2,2,3,5,8,4,2,0,"Proportional","l",4.802866946,6,1,5.33333333333333
"11987",20407,50055,"IE",39,7,1,4,3,2,9,2,1,4,7,2,2,4,6,7,4,7,1,1,1,8,7,2,2,3,2,1,1,9,8,2,0,"Proportional","l",4.802866946,2,1,3
"11988",20408,50108,"IE",61,7,1,3,3,1,9,2,1,1,5,4,4,10,3,0,2,3,1,4,1,10,2,1,1,2,2,1,3,8,2,2,0,"Proportional","l",4.802866946,2,2,1
"11989",20409,50198,"IE",47,5,1,5,2,2,4,2,2,3,3,2,1,4,0,4,0,1,4,4,4,0,2,2,1,1,1,1,3,10,4,3,0,"Proportional","l",4.802866946,3,2,0
"11990",20410,50217,"IE",57,2,1,7,3,2,3,1,2,7,4,2,2,4,6,7,5,6,2,4,2,0,0,4,2,1,1,2,2,10,2,2,0,"Proportional","l",4.802866946,1,1,2
"11991",20411,50297,"IE",63,7,1,6,5,2,6,2,1,6,6,1,2,5,6,9,6,4,3,4,4,3,3,2,3,3,4,2,4,10,2,2,1,"Proportional","l",4.802866946,2,1,4.66666666666667
"11992",20413,50362,"IE",54,4,1,7,4,2,2,2,2,2,4,2,2,5,1,1,2,1,3,3,3,5,5,2,1,2,3,2,5,10,5,1,0,"Proportional","l",4.802866946,5,2,1.33333333333333
"11993",20417,50447,"IE",69,2,1,1,2,2,1,1,4,8,5,2,2,5,0,1,5,7,2,2,2,9,8,1,3,3,5,1,2,9,7,2,1,"Proportional","l",4.802866946,7,1,1
"11994",20419,50530,"IE",71,2,1,4,3,2,5,2,1,8,8,2,2,5,7,3,8,0,2,2,2,5,7,1,2,2,2,2,4,8,7,2,0,"Proportional","l",4.802866946,5,1,8.33333333333333
"11995",20420,50560,"IE",37,5,2,5,3,2,7,1,2,5,4,2,2,7,5,7,3,4,2,3,3,6,5,2,3,2,2,1,1,8,4,4,0,"Proportional","l",4.802866946,2,1,2.66666666666667
"11996",20421,50731,"IE",44,7,1,3,2,2,9,2,2,6,7,2,4,5,5,6,5,5,2,3,4,7,7,2,3,3,3,2,3,8,7,2,4,"Proportional","l",4.802866946,1,1,2.66666666666667
"11997",20425,50813,"IE",41,3,1,0,2,2,1,1,2,5,4,2,2,6,3,4,5,1,1,3,3,8,3,2,1,3,4,1,2,7,3,1,4,"Proportional","l",4.802866946,10,2,5
"11998",20426,50844,"IE",58,4,2,6,5,2,4,2,1,4,2,2,2,5,3,3,0,3,1,2,3,6,5,3,2,2,2,2,2,6,5,3,0,"Proportional","l",4.802866946,5,1,3
"11999",20427,50927,"IE",80,4,1,8,2,2,3,2,2,8,5,2,2,7,7,9,8,7,1,2,2,8,8,3,2,3,3,2,2,10,7,1,0,"Proportional","l",4.802866946,1,1,6.66666666666667
"12000",20428,50983,"IE",55,2,2,8,2,2,1,2,2,7,7,1,2,5,8,9,6,7,2,3,3,6,9,1,2,2,2,2,2,7,6,5,0,"Proportional","l",4.802866946,3,1,7.66666666666667
"12001",20430,51050,"IE",78,6,1,6,3,2,3,2,1,8,8,4,4,6,6,6,6,9,2,3,2,8,8,2,3,4,4,1,1,8,8,1,0,"Proportional","l",4.802866946,6,1,6
"12002",20433,51140,"IE",53,1,1,4,1,2,9,2,2,6,6,2,2,5,7,8,6,5,2,3,2,5,6,2,3,3,3,2,4,10,5,3,1,"Proportional","l",4.802866946,3,1,5.66666666666667
"12003",20434,51191,"IE",38,7,2,6,1,2,9,1,2,3,4,1,3,5,5,7,1,4,2,3,2,7,5,2,2,2,2,1,1,8,6,2,0,"Proportional","l",4.802866946,2,1,2.66666666666667
"12004",20435,51274,"IE",71,5,2,8,5,2,1,2,3,5,3,2,4,6,8,8,4,5,2,3,3,3,6,3,2,3,3,2,3,8,5,2,0,"Proportional","l",4.802866946,1,1,7
"12005",20436,51312,"IE",64,2,1,6,1,2,4,2,2,8,10,3,3,5,3,9,3,7,3,3,3,6,7,2,1,2,2,1,2,10,7,1,1,"Proportional","l",4.802866946,7,1,3.33333333333333
"12006",20440,51445,"IE",71,1,1,5,3,2,3,2,1,6,4,1,4,6,2,5,2,6,1,1,1,8,8,2,3,2,3,1,3,10,8,1,0,"Proportional","l",4.802866946,8,1,5
"12007",20441,51518,"IE",51,5,1,4,5,2,2,1,3,2,3,2,2,5,8,10,0,7,2,2,2,7,7,2,3,2,1,1,1,8,7,3,0,"Proportional","l",4.802866946,5,1,1.66666666666667
"12008",20442,51532,"IE",48,6,2,1,1,2,10,1,1,7,6,4,3,3,5,5,6,7,2,2,2,6,8,1,4,3,4,1,2,8,8,3,0,"Proportional","l",4.802866946,2,1,5.33333333333333
"12009",20445,51808,"IE",35,4,1,5,3,2,7,2,1,6,7,3,3,5,3,6,7,0,1,1,2,10,10,2,3,3,4,1,1,10,2,1,0,"Proportional","l",4.802866946,5,1,2.66666666666667
"12010",20446,51853,"IE",60,5,2,7,2,1,6,1,1,7,9,2,1,6,6,7,7,3,2,2,2,8,8,2,2,2,4,2,4,9,9,3,0,"Proportional","l",4.802866946,2,1,5
