"","idno","cntry","agea","eisced","gndr","rlgdgr","domicil","blgetmg","hinctnta","uemp3m","hincfel","stfdem","stfeco","gincdif","sofrdst","lrscale","trstep","trstun","stfgov","euftf","imsmetn","imdfetn","impcntr","imbgeco","imwbcnt","polintr","psppsgva","psppipla","frprtpl","freehms","hmsacld","atchctr","imueclt","impenv","vote_pop_1","elec_system","pop_choice_1","GDP","occup","vote_eu","pop_att"
"98",5189,"AT",77,3,2,5,4,2,4,2,2,7,8,1,2,4,5,5,2,7,1,2,2,7,5,1,2,2,2,1,2,10,6,1,0,"Proportional","r",1.550724086,4,1,3
"99",5202,"AT",67,3,1,6,4,2,6,2,2,4,9,3,1,4,5,7,3,5,1,2,3,7,6,1,2,2,3,1,2,10,7,1,0,"Proportional","r",1.550724086,7,1,4
"100",5213,"AT",62,3,2,4,3,2,4,2,2,4,2,1,2,5,5,0,4,0,3,3,3,3,4,3,2,2,2,2,5,10,1,5,0,"Proportional","r",1.550724086,2,1,3.33333333333333
"101",5234,"AT",66,3,1,7,4,2,3,2,2,5,6,3,3,4,4,2,3,3,3,4,3,6,5,2,3,3,4,3,4,7,4,2,0,"Proportional","r",1.550724086,7,2,6
"102",5322,"AT",67,3,2,6,2,2,3,2,2,6,6,2,2,5,6,6,5,6,2,2,2,7,6,3,3,3,3,2,2,6,7,2,4,"Proportional","r",1.550724086,7,1,5.66666666666667
"103",5326,"AT",36,5,2,8,5,2,7,2,2,8,7,1,5,1,5,7,4,8,1,2,2,6,5,3,2,3,2,1,1,8,8,1,0,"Proportional","r",1.550724086,2,1,5
"104",5337,"AT",50,4,1,0,2,2,9,2,1,6,8,1,3,0,7,8,3,7,1,1,1,8,8,1,3,3,3,1,1,7,8,1,0,"Proportional","r",1.550724086,2,1,7
"105",5418,"AT",55,5,1,7,3,2,5,1,2,6,8,2,1,3,2,2,3,3,1,2,1,5,8,2,2,2,2,1,2,7,7,1,0,"Proportional","r",1.550724086,4,1,3
"106",5571,"AT",38,3,1,1,3,2,3,2,2,7,7,2,2,4,3,2,3,4,2,2,2,6,5,2,2,2,3,2,3,10,5,2,0,"Proportional","r",1.550724086,7,1,4.33333333333333
"107",5621,"AT",83,2,2,0,3,2,2,1,2,2,9,4,4,2,0,0,1,5,3,3,3,6,6,4,1,1,1,5,4,10,7,2,0,"Proportional","r",1.550724086,5,1,1.33333333333333
